city,name,total,s_year,s_month,s_day,s_quarter,s_hour,orders_count  
彰化,easycard,363,2021,4,18,2,13,2
彰化,easycard,318,2021,4,18,2,14,4
彰化,easycard,232,2021,4,18,2,15,3
彰化,easycard,36,2021,4,18,2,16,1
彰化,easycard,84,2021,4,18,2,17,2
彰化,easycard,33,2021,4,18,2,19,1
彰化,easycard,60,2021,4,18,2,20,2
彰化,easycard,170,2021,4,18,2,21,2
彰化,linepay,377,2021,4,18,2,11,3
彰化,linepay,221,2021,4,18,2,12,4
彰化,linepay,261,2021,4,18,2,13,3
彰化,linepay,381,2021,4,18,2,14,4
彰化,linepay,40,2021,4,18,2,15,1
嘉義,cash,915,2021,4,30,2,9,14
彰化,linepay,118,2021,4,18,2,16,3
彰化,linepay,103,2021,4,18,2,18,1
彰化,linepay,122,2021,4,18,2,19,2
彰化,linepay,86,2021,4,18,2,20,2
彰化,linepay,36,2021,4,18,2,21,1
彰化,linepay,180,2021,4,18,2,12,1
彰化,linepay,222,2021,4,18,2,13,1
彰化,national_credit_card,5,2021,4,18,2,10,1
彰化,national_credit_card,97,2021,4,18,2,12,1
彰化,national_credit_card,353,2021,4,18,2,14,2
台中,linepay,162,2021,4,26,2,14,5
台中,linepay,144,2021,4,26,2,15,2
台中,linepay,326,2021,4,26,2,16,6
台中,linepay,95,2021,4,26,2,17,3
台中,linepay,525,2021,4,26,2,18,6
台中,linepay,229,2021,4,26,2,19,3
台中,linepay,176,2021,4,26,2,20,4
台中,linepay,256,2021,4,26,2,21,4
台中,national_credit_card,112,2021,4,26,2,12,1
台中,national_credit_card,64,2021,4,26,2,17,1
台中,national_credit_card,67,2021,4,26,2,18,2
嘉義,cash,1016,2021,4,30,2,10,13
嘉義,cash,3543,2021,4,30,2,11,36
嘉義,cash,3083,2021,4,30,2,12,38
嘉義,cash,2195,2021,4,30,2,13,29
嘉義,cash,1843,2021,4,30,2,14,20
嘉義,cash,1679,2021,4,30,2,15,20
嘉義,cash,2699,2021,4,30,2,16,29
嘉義,cash,2580,2021,4,30,2,17,37
嘉義,cash,2741,2021,4,30,2,18,30
嘉義,cash,2973,2021,4,30,2,19,27
嘉義,cash,2235,2021,4,30,2,20,23
嘉義,cash,917,2021,4,30,2,21,16
嘉義,easycard,258,2021,4,30,2,9,2
嘉義,easycard,37,2021,4,30,2,10,1
嘉義,easycard,193,2021,4,30,2,11,2
嘉義,easycard,177,2021,4,30,2,12,3
台中,cash,310,2021,4,18,2,9,6
台中,cash,661,2021,4,18,2,10,10
台中,cash,1936,2021,4,18,2,11,25
台中,cash,2884,2021,4,18,2,12,34
台中,cash,1683,2021,4,18,2,13,22
台中,cash,2043,2021,4,18,2,14,28
台中,cash,1778,2021,4,18,2,15,18
台中,cash,1830,2021,4,18,2,16,27
台中,cash,1433,2021,4,18,2,17,21
台中,cash,1384,2021,4,18,2,18,23
台中,cash,894,2021,4,18,2,19,15
台中,cash,777,2021,4,18,2,20,15
台中,cash,855,2021,4,18,2,21,15
台中,easycard,120,2021,4,18,2,11,2
台中,easycard,55,2021,4,18,2,12,1
台中,easycard,511,2021,4,18,2,13,4
台中,easycard,166,2021,4,18,2,14,2
台中,easycard,84,2021,4,18,2,15,2
台中,easycard,350,2021,4,18,2,17,2
台中,easycard,189,2021,4,18,2,18,4
台中,easycard,196,2021,4,18,2,19,4
台中,easycard,81,2021,4,18,2,20,1
台中,linepay,38,2021,4,18,2,10,1
台中,linepay,62,2021,4,18,2,11,1
台中,linepay,122,2021,4,18,2,12,2
台中,linepay,100,2021,4,18,2,13,2
台中,linepay,465,2021,4,18,2,14,5
台中,linepay,364,2021,4,18,2,15,5
台中,linepay,148,2021,4,18,2,16,2
台中,linepay,216,2021,4,18,2,17,5
台中,linepay,101,2021,4,18,2,18,2
台中,linepay,125,2021,4,18,2,19,4
台中,linepay,65,2021,4,18,2,20,2
台中,national_credit_card,68,2021,4,18,2,11,1
台中,national_credit_card,34,2021,4,18,2,13,1
台中,national_credit_card,175,2021,4,18,2,17,1
台中,national_credit_card,202,2021,4,18,2,19,4
台中,national_credit_card,63,2021,4,18,2,21,1
嘉義,cash,677,2021,4,26,2,9,9
嘉義,cash,409,2021,4,26,2,10,8
嘉義,cash,2343,2021,4,26,2,11,19
嘉義,cash,1452,2021,4,26,2,12,24
嘉義,cash,1224,2021,4,26,2,13,15
嘉義,cash,748,2021,4,26,2,14,13
嘉義,cash,1330,2021,4,26,2,15,21
嘉義,cash,944,2021,4,26,2,16,12
嘉義,cash,1565,2021,4,26,2,17,25
嘉義,cash,2012,2021,4,26,2,18,30
嘉義,cash,1222,2021,4,26,2,19,19
嘉義,cash,848,2021,4,26,2,20,16
嘉義,cash,643,2021,4,26,2,21,12
嘉義,easycard,69,2021,4,26,2,10,1
嘉義,easycard,36,2021,4,26,2,14,1
嘉義,easycard,90,2021,4,26,2,15,2
嘉義,easycard,32,2021,4,26,2,16,1
嘉義,easycard,68,2021,4,26,2,17,1
嘉義,easycard,306,2021,4,26,2,18,2
嘉義,easycard,231,2021,4,26,2,19,3
嘉義,easycard,87,2021,4,26,2,20,2
嘉義,easycard,126,2021,4,26,2,21,2
嘉義,linepay,35,2021,4,26,2,9,1
嘉義,linepay,33,2021,4,26,2,11,1
嘉義,linepay,63,2021,4,26,2,12,1
嘉義,linepay,210,2021,4,26,2,13,5
嘉義,linepay,138,2021,4,26,2,14,2
嘉義,linepay,97,2021,4,26,2,15,1
嘉義,linepay,404,2021,4,26,2,16,5
嘉義,linepay,150,2021,4,26,2,18,3
嘉義,linepay,28,2021,4,26,2,19,1
嘉義,linepay,50,2021,4,26,2,20,1
嘉義,easycard,64,2021,4,30,2,14,1
嘉義,easycard,206,2021,4,30,2,15,2
嘉義,UberEats,122,2021,4,18,2,15,1
嘉義,cash,757,2021,4,18,2,9,10
嘉義,cash,1464,2021,4,18,2,10,22
嘉義,cash,2389,2021,4,18,2,11,28
嘉義,cash,2811,2021,4,18,2,12,47
嘉義,cash,3292,2021,4,18,2,13,36
嘉義,cash,2012,2021,4,18,2,14,27
嘉義,cash,1957,2021,4,18,2,15,27
嘉義,cash,1847,2021,4,18,2,16,28
嘉義,cash,1052,2021,4,18,2,17,17
嘉義,cash,1322,2021,4,18,2,18,24
